,0,0,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,13,13,14,14
0,,,62,6,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,52,82,128,68,208,55,292,43,382,33,476,24,573,17,672,14,770,11,868,12,963,14,1053,20,1140,28,1220,39
2,,,49,165,,,,,,,,,,,,,673,107,,,,,,,,,,,1230,125
3,,,47,249,,,,,,,,,,,,,675,204,,,,,,,,,,,1239,215
4,,,46,336,,,,,,,,,,,,,676,305,,,,,,,,,,,1244,308
5,,,48,423,,,,,,,,,,,,,678,404,,,,,,,,,,,1246,400
6,,,51,512,,,,,,,,,,,,,679,503,,,,,,,,,,,1246,496
7,,,56,600,,,,,,,,,,,,,679,600,,,,,,,,,,,1242,589
8,,,64,686,,,,,,,,,,,,,680,697,,,,,,,,,,,1236,682
9,6,759,72,767,,,,,,,,,,,,,681,790,,,,,,,,,,,1227,769
10,17,837,84,846,,,,,,,,,,,,,681,881,,,,,,,,,,,1216,853
11,31,909,96,921,167,962,242,941,322,949,408,955,497,960,588,964,681,966,775,966,868,964,958,959,1044,952,1126,944,1203,933
12,45,979,108,991,,,,,,,,,,,,,,,,,,,,,,,,,1189,1007
